source	relative_path	decision	action	target	title	reason	char_count
A	education/Troubleshooting/Make-sure-you-re-using-an-organizational-account-error.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	4274
A	education/Troubleshooting/Troubleshoot-Code-Builder-Not-Launching.md	无需更新	none		Clear your cache inside Code Builder	教育版通用教学内容，当前无直接开发补丁	2616
A	education/Troubleshooting/Troubleshoot-Issue-Importing-Worlds-and-Templates.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	2271
A	education/Troubleshooting/Troubleshoot-Performance-Issues.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	821
A	education/Troubleshooting/Troubleshoot-the-Can-t-Connect-to-the-Service-Error.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1931
A	education/Troubleshooting/Troubleshoot-the-Something-Went-Wrong-Error.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	1452
A	education/Troubleshooting/Troubleshoot-the-Unable-to-Connect-to-the-Library-Error.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	3310
A	education/Troubleshooting/Troubleshoot-the-Unable-to-Connect-to-World-Error.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	3610
A	education/Troubleshooting/Troubleshoot-the-Unable-to-Sign-in-Error-Message.md	无需更新	none			教育版通用教学内容，当前无直接开发补丁	924
A	education/Troubleshooting/Troubleshooting-multiplayer-multiple-disconnections-inventory-lag.md	无需更新	none		**Users begin disconnecting and/or unable to** **join after the host reaches a certain number of users connected. May be accompanied by in-game lag. **	教育版通用教学内容，当前无直接开发补丁	2740
A	feedback/Archived-Feedback-Website-Articles/Archived-Current-Hot-Topics.md	无需更新	none			当前批次无对应目标页	11466
A	feedback/Archived-Feedback-Website-Articles/Archived-Feedback-Site-Changelog-July-2018.md	无需更新	none		**What's new (30 July)**	当前批次无对应目标页	3458
A	feedback/Archived-Feedback-Website-Articles/Archived-Feedback-Site-Changelog-June-2018.md	无需更新	none		**What's new (last update: 25 June 2018)**	当前批次无对应目标页	2927
A	feedback/Archived-Feedback-Website-Articles/Archived-Feedback-Site-Changelog-May-2018.md	无需更新	none		**We have a fresh new system of categories! Woo!**	当前批次无对应目标页	1608
A	feedback/Archived-Feedback-Website-Articles/Archived-Feedback-Website-Changelog-August-2018.md	无需更新	none			当前批次无对应目标页	3107
A	feedback/Archived-Feedback-Website-Articles/Archived-Feedback-Website-Changelog-September-2018.360013321311.md	无需更新	none			当前批次无对应目标页	1806
A	feedback/Archived-Feedback-Website-Articles/Archived-Feedback-Website-Changelog-September-2018.360015875691.md	无需更新	none			当前批次无对应目标页	548
A	feedback/Archived-Feedback-Website-Articles/Archived-How-To-Make-a-brand-new-Biome-or-Dimension.md	无需更新	none		**Let's get started!**	当前批次无对应目标页	1851
A	feedback/Archived-Feedback-Website-Articles/Archived-Parity-Requests-and-You-A-Guide.md	无需更新	none		**Bug**	当前批次无对应目标页	3718
A	feedback/Archived-Feedback-Website-Articles/Archived-Previously-Considered-Suggestions.md	无需更新	none			当前批次无对应目标页	12880
A	feedback/Archived-Feedback-Website-Articles/Archived-Tags-on-Posts-and-What-They-Mean-A-Guide.md	无需更新	none			当前批次无对应目标页	1553
A	feedback/Beta-and-Preview-Information-and-Changelogs/Caves-Cliffs-Part-ll-FAQ-Upgrading-Worlds-Bedrock-Beta.md	无需更新	none			本批次优先正式版更新日志	2211
A	feedback/Beta-and-Preview-Information-and-Changelogs/Experimental-Features-Toggle-in-Minecraft-Bedrock-Edition.md	无需更新	none		**What is an Experimental Features toggle?**	本批次优先正式版更新日志	8281
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-0-15-build-2.md	无需更新	none			本批次优先正式版更新日志	1582
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-0-16-build-1.md	无需更新	none			本批次优先正式版更新日志	6151
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-0-16-build-5.md	无需更新	none			本批次优先正式版更新日志	4002
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-3.md	无需更新	none			本批次优先正式版更新日志	1468
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-4-Build-1.md	无需更新	none			本批次优先正式版更新日志	3624
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-4-Build-2.md	无需更新	none			本批次优先正式版更新日志	2895
A	feedback/Beta-and-Preview-Information-and-Changelogs/MCPE-Android-Beta-1-0-5-Build-1.md	无需更新	none			本批次优先正式版更新日志	3766
